0: (2) [21.742184162139893, 196.56075954437256]
1: (2) [28.86502742767334, 263.9333152770996]
2: (2) [43.94906044006348, 328.94805908203125]
3: (2) [58.058433532714844, 388.2175540924072]
4: (2) [85.67355155944824, 446.16050720214844]
5: (2) [132.54810333251953, 479.00547981262207]
6: (2) [178.69266510009766, 494.42516326904297]
7: (2) [238.66117477416992, 504.11888122558594]
8: (2) [326.84974670410156, 506.5038299560547]
9: (2) [411.0964584350586, 496.61888122558594]
10: (2) [474.4914245605469, 485.687313079834]
11: (2) [521.4802551269531, 470.1628875732422]
12: (2) [564.2323303222656, 428.1587505340576]
13: (2) [587.9768371582031, 373.8896083831787]
14: (2) [595.4689407348633, 316.98617935180664]
15: (2) [603.5312271118164, 248.5206699371338]
16: (2) [608.4892654418945, 176.28514766693115]
17: (2) [73.47429275512695, 124.98317241668701]
18: (2) [106.93866729736328, 104.59404945373535]
19: (2) [148.6634922027588, 97.24998950958252]
